node,type,pd_kw,qd_kvar,vm_init_pu
1,3,0.0,0.0,1.0
2,1,100.0,60.0,1.0
3,1,90.0,40.0,1.0
4,1,120.0,80.0,1.0
5,1,60.0,30.0,1.0
6,1,60.0,20.0,1.0
7,1,200.0,100.0,1.0
8,1,200.0,100.0,1.0
9,1,60.0,20.0,1.0
10,1,60.0,20.0,1.0
11,1,45.0,30.0,1.0
12,1,60.0,35.0,1.0
13,1,60.0,35.0,1.0
14,1,120.0,80.0,1.0
15,1,60.0,10.0,1.0
16,1,60.0,20.0,1.0
17,1,60.0,20.0,1.0
18,1,90.0,40.0,1.0
19,1,90.0,40.0,1.0
20,1,90.0,40.0,1.0
21,1,90.0,40.0,1.0
22,1,90.0,40.0,1.0
23,1,90.0,50.0,1.0
24,1,420.0,200.0,1.0
25,1,420.0,200.0,1.0
26,1,60.0,25.0,1.0
27,1,60.0,25.0,1.0
28,1,60.0,20.0,1.0
29,1,120.0,70.0,1.0
30,1,200.0,600.0,1.0
31,1,150.0,70.0,1.0
32,1,210.0,100.0,1.0
33,1,60.0,40.0,1.0
